pair_id,principle_a,principle_b,shared_surface,shared_surface_note,mechanism,mechanism_note,material_consequence,consequence_note,primary_type,secondary_types,evidence_grade,counterexample,context_dependence,confidence,disposition,dossier,journal_refs
P001,KISS,YAGNI,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; YAGNI governs timing of capability and extensibility.,pass,Deferring unneeded capability prevents the extra mechanisms whose lifecycle cost KISS would otherwise have to remove.,pass,"A design review can reject an option, extension point, or compatibility path before it becomes carrying complexity.",Reinforcement,,Direct,"A current accessibility or recovery requirement is not speculative, even if it adds substantial structure.",Applies when a proposed mechanism exists only for a presumed future consumer.,high,publish,pair-dossiers/P001-kiss-yagni.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P002,KISS,DRY,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; DRY governs authority for changing knowledge.,pass,"DRY can remove coordinated authorities, but KISS rejects a shared abstraction when its indirection costs more than the duplication it removes.",pass,The reviewer must choose between a narrow authority and intentionally separate local copies instead of deduplicating by appearance.,Moderation,,Convergent,Two identical literals owned by independent policies should remain separate despite textual duplication.,"Applies when several representations may encode one changing fact, but extraction adds a new abstraction.",high,publish,pair-dossiers/P002-kiss-dry.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P003,KISS,Rule of Three,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Rule of Three governs timing and scope of abstraction.,pass,The Rule of Three supplies an evidence threshold that keeps KISS from mistaking speculative generality for necessary structure.,pass,Early cases remain direct; abstraction is introduced only after concrete variation shows what structure is justified.,Reinforcement,,Convergent,"A published protocol already defines one authority, so waiting for three local copies would add risk.",Applies when an abstraction is proposed from one or two uncertain examples.,high,publish,pair-dossiers/P003-kiss-rule-of-three.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P004,KISS,Occam's Razor,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Occam's Razor governs selection among equally adequate designs or explanations.,pass,"Both compare adequate choices by unnecessary complexity, while Occam specifically tests unsupported assumptions and KISS counts implementation and lifecycle mechanisms.",pass,The same candidate can be rejected both for unsupported premises and for unjustified maintenance obligations.,Overlap,,Convergent,A shorter design that omits a required audit trail is not adequate and is favored by neither principle.,Applies when multiple designs satisfy the same complete requirements.,high,publish,pair-dossiers/P004-kiss-occam-s-razor.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P005,KISS,Principle of Least Power,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Principle of Least Power governs expressive power of the chosen mechanism.,pass,Choosing a less expressive adequate mechanism removes possible behaviors and side effects from the design KISS asks maintainers to understand.,pass,"A static mapping, schema, native element, or query can replace a callback, script, or plugin system.",Reinforcement,,Convergent,A stateful recovery workflow may be clearer as ordinary code than as an overgrown declarative language.,Applies when the complete requirement fits a constrained mechanism without contortion.,high,publish,pair-dossiers/P005-kiss-principle-of-least-power.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P006,KISS,Separation of Concerns,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Separation of Concerns governs logical boundaries between kinds of decisions.,pass,"A boundary can reduce entanglement but also adds concepts, navigation, and contracts; KISS requires the separation to repay that cost.",pass,The implementation uses the cheapest meaningful boundary and avoids forwarding layers or unnecessary services.,Moderation,Tension,Convergent,Splitting one cohesive invariant across files increases complexity without independent change benefit.,"Applies when concerns change independently, but several possible boundary strengths exist.",high,publish,pair-dossiers/P006-kiss-separation-of-concerns.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P007,KISS,Single Responsibility Principle,fail,Distinct operational decisions: KISS governs overall implementation and lifecycle complexity; Single Responsibility Principle governs module cohesion around reasons for change. The profiles do not establish a shared or causal decision surface.,fail,"Neither operational profile changes the other's general preconditions, cost, timing, risk, or outcome without additional project-specific facts.",fail,No implementation or review decision changes from the profiles alone.,Independence,,,A project can apply KISS to overall implementation and lifecycle complexity while no decision concerning module cohesion around reasons for change arises.,"A relationship may occur in a specific refactoring, but it is not entailed by the canonical profiles.",high,reject,,J-20260715-1920-04
P008,KISS,Composition over Inheritance,pass,Both affect mechanism used for reuse or variation.,fail,"Rejected hypothesis: KISS compares direct code, composition wiring, and inheritance against the actual variation instead of automatically adding collaborators.",fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P008-kiss-composition-over-inheritance.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
P009,KISS,Convention over Configuration,pass,Causally connected decisions: KISS governs overall implementation and lifecycle complexity; Convention over Configuration governs routine defaults versus explicit exceptions.,pass,"A discoverable convention removes repetitive configuration, while KISS prevents convention from becoming hidden magic or a complex precedence system.",pass,The common path uses one predictable default and only real exceptions remain explicit.,Moderation,Reinforcement;Tension,Convergent,"When exceptions dominate or policy is important, explicit configuration is simpler than inference.",Applies when most instances make the same routine choice.,high,publish,pair-dossiers/P009-kiss-convention-over-configuration.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06;J-20260715-2015-07;J-20260715-2050-09
P010,KISS,Unix Philosophy,pass,Both affect component granularity and interface count.,fail,"Rejected hypothesis: KISS stops focused-tool decomposition when process, protocol, and failure-coordination costs exceed the complexity removed from a monolith.",fail,No context-independent implementation or review consequence was supported.,Independence,,Unsupported,pass,"A project-specific interaction may exist, but no general mechanism survived the evidence and counterexample tests.",medium,reject,pair-dossiers/P010-kiss-unix-philosophy.md,J-20260715-1920-04;J-20260715-1935-05;J-20260715-1950-06
