pair_id,principle_a,principle_b,shared_surface,shared_surface_note,mechanism,mechanism_note,material_consequence,consequence_note,primary_type,secondary_types,evidence_grade,counterexample,context_dependence,confidence,disposition,dossier,journal_refs
P001,KISS,YAGNI,pass,Both affect complexity added for proposed capabilities.,pass,"Deferring capability without a current consumer removes options, branches, and obligations from the adequate design.",pass,The delivered design carries fewer concepts and execution paths.,Reinforcement,,Reasoned Inference,pass,Counterexample: an irreversible public schema can make limited advance preparation a current requirement.,high,uncertain,,independent-review
P002,KISS,DRY,pass,Both affect whether duplicated representations justify central machinery.,pass,KISS weighs synchronization savings against the indirection and tooling introduced by a DRY authority.,pass,It prevents harmless duplication from being replaced by a more complicated abstraction.,Moderation,Tension,Reasoned Inference,pass,Counterexample: two copies of the same regulated rule require one authority even when derivation tooling adds structure.,medium,uncertain,,independent-review
P003,KISS,Rule of Three,pass,Both affect when an abstraction belongs in the current design.,pass,Waiting for concrete variation prevents an early abstraction from consuming complexity budget before its shape is known.,pass,"Fewer flags, exceptions, and speculative extension points enter the design.",Reinforcement,Sequencing,Reasoned Inference,pass,Counterexample: an already authoritative protocol concept can justify abstraction before three cases.,high,uncertain,,independent-review
P004,KISS,Occam's Razor,pass,Both affect selection among adequate designs.,pass,Both hold adequacy constant and reject mechanisms unsupported by requirements or evidence; Occam emphasizes assumptions while KISS includes lifecycle load.,pass,They often select the same lower-obligation design for different diagnostic reasons.,Overlap,Reinforcement,Reasoned Inference,pass,Counterexample: a more structured design can be the simpler whole-system choice when it isolates a demonstrated risk.,high,uncertain,,independent-review
P005,KISS,Principle of Least Power,pass,Both affect choice of an adequate implementation mechanism.,pass,"Choosing a less expressive sufficient mechanism reduces possible behavior, side effects, and analysis obligations counted by KISS.",pass,The implementation has fewer states and hidden execution paths to understand.,Reinforcement,,Reasoned Inference,pass,Counterexample: encoding stateful recovery in configuration can be more complicated than direct code.,high,uncertain,,independent-review
P006,KISS,Separation of Concerns,pass,Both affect strength and placement of design boundaries.,pass,KISS requires a concern boundary to repay its integration and navigation cost rather than treating separation as free.,pass,Only boundaries that reduce whole-system complexity survive.,Moderation,Tension,Reasoned Inference,pass,Counterexample: independently regulated policy and transport can justify a strong boundary despite added adapters.,medium,uncertain,,independent-review
P007,KISS,Single Responsibility Principle,fail,KISS decides whole-design complexity; Single Responsibility Principle decides module ownership.,fail,No repeatable causal path from applying KISS to the Single Responsibility Principle decision follows from the profiles.,fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can choose a direct adequate algorithm while making no decision about module ownership.,medium,reject,,independent-review
P008,KISS,Composition over Inheritance,pass,Both affect mechanism used for reuse or variation.,pass,"KISS compares direct code, composition wiring, and inheritance against the actual variation instead of automatically adding collaborators.",pass,Unused strategy and factory layers are avoided while real subclass multiplication can still be removed.,Moderation,Tension,Reasoned Inference,pass,Counterexample: two genuinely independent variation axes can make composition the clearest design.,medium,uncertain,,independent-review
P009,KISS,Convention over Configuration,pass,Both affect how routine choices are represented.,pass,"Convention removes repeated configuration, but KISS rejects it when discovery rules and exception precedence are harder than explicit choices.",pass,The ordinary path can shrink without turning domain policy into hidden magic.,Tension,Moderation,Reasoned Inference,pass,Counterexample: a weak common case with many exceptions is clearer as explicit configuration.,medium,uncertain,,independent-review
P010,KISS,Unix Philosophy,pass,Both affect component granularity and interface count.,pass,"KISS stops focused-tool decomposition when process, protocol, and failure-coordination costs exceed the complexity removed from a monolith.",pass,Pipelines remain composable without fragmenting one cohesive transaction.,Moderation,Tension,Reasoned Inference,pass,Counterexample: independently reusable transformations with stable values can justify several small tools.,medium,uncertain,,independent-review
P011,KISS,"Functional Core, Imperative Shell",fail,"KISS decides whole-design complexity; Functional Core, Imperative Shell decides placement of decisions and effects.",fail,"No repeatable causal path from applying KISS to the Functional Core, Imperative Shell decision follows from the profiles.",fail,Either decision can change without materially changing the other's required outcome.,Independence,,,pass,Counterexample: a team can choose a direct adequate algorithm while making no decision about placement of decisions and effects.,medium,reject,,independent-review
P012,KISS,Negative Code,pass,Both affect whether required behavior can be delivered with less owned machinery.,pass,"Safe deletion directly lowers the concepts, dependencies, and failure paths in KISS's complexity budget.",pass,An equal contract becomes easier to understand and operate.,Reinforcement,,Reasoned Inference,pass,Counterexample: a larger explicit implementation can be safer than terse replacement code.,high,uncertain,,independent-review
P013,KISS,Dead Code Elimination,pass,Both affect whether non-contributing mechanisms remain in the design.,pass,Proving an artifact cannot affect supported outcomes lets it be removed from the design's choice and maintenance surface.,pass,Users and maintainers face fewer false paths and configurations.,Reinforcement,,Reasoned Inference,pass,Counterexample: a rarely invoked disaster-recovery path is live despite no routine references.,high,uncertain,,independent-review
P014,KISS,Refactoring Toward Primitives,pass,Both affect whether to retain bespoke machinery.,pass,Replacing a contract-equivalent custom mechanism with a smaller trustworthy primitive removes owned edge cases and lifecycle obligations.,pass,The adequate design has less code and fewer local concepts.,Reinforcement,,Reasoned Inference,pass,Counterexample: a heavy dependency or semantic mismatch can make the local implementation simpler.,high,uncertain,,independent-review
P015,KISS,Dependency Inversion Principle,pass,Both affect whether a policy/detail boundary merits an abstraction.,pass,KISS admits a policy-owned port only when demonstrated volatility or isolation value exceeds adapter and wiring cost.,pass,Stable fixed details remain direct; volatile details can be isolated without interface-per-class ceremony.,Moderation,Tension,Reasoned Inference,pass,Counterexample: a vendor boundary with regulated portability requirements justifies extra structure.,medium,uncertain,,independent-review
